;Apr09_TPC_0-1-0_LMW;Apr09_TPC_0-1-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1953,125;0,009606323;-0,009107378;
1954,989;0,008931401;-0,009742167;
1956,852;0,008065343;-0,01056821;
1958,716;0,007131873;-0,01146177;
1960,580;0,006644907;-0,01190895;
1962,443;0,006069426;-0,01244475;
1964,307;0,006071984;-0,01240263;
1966,171;0,005724478;-0,01271068;
1968,034;0,004321942;-0,01407387;
1969,898;0,003253228;-0,01510336;
1971,762;0,002745941;-0,01557153;
1973,625;0,001895378;-0,01638309;
1975,489;0,0006217184;-0,01761785;
1977,353;-6,256288E-5;-0,01826334;
1979,216;0,001817931;-0,01634417;
1981,080;0,003441319;-0,01468222;
1982,944;0,003923448;-0,01416163;
1984,807;0,004267282;-0,01377944;
1986,671;0,004501688;-0,01350679;
1988,535;0,004358837;-0,01361151;
1990,398;0,005021412;-0,0129109;
1992,262;0,00534853;-0,01254586;
1994,126;0,005060963;-0,01279562;
1995,989;0,004961035;-0,01285783;
1997,853;0,005198806;-0,01258246;
1999,717;0,004803457;-0,01294031;
2001,580;0,004493372;-0,013213;
2003,444;0,004037831;-0,01363125;
2005,308;0,002851863;-0,01478003;
2007,171;0,001881725;-0,01571309;
2009,035;0,001687554;-0,01587028;
2010,899;0,001199636;-0,01632132;
2012,762;0,0009858102;-0,01649837;
2014,626;0,0008614574;-0,01658605;
2016,490;0,0004956145;-0,01691532;
2018,353;3,56682E-7;-0,01737411;
2020,217;3,451008E-5;-0,01730359;
2022,081;-0,0004506912;-0,01775252;
2023,944;-0,0007816333;-0,0180473;
2025,808;-0,001067254;-0,01829685;
2027,672;-0,001059816;-0,01825344;
2029,535;-0,001182218;-0,01833997;
2031,399;-0,001654788;-0,01877677;
2033,263;-0,00177984;-0,01886615;
2035,126;-0,0002955043;-0,01734624;
2036,990;0,0009364775;-0,01607878;
2038,854;0,001235877;-0,015744;
2040,717;0,001418451;-0,01552615;
2042,581;0,001653272;-0,01525614;
2044,445;0,001356425;-0,01551789;
2046,308;0,001506231;-0,01533309;
2048,172;0,003011188;-0,01379324;
2050,036;0,004921341;-0,01184828;
2051,899;0,006050717;-0,0106842;
2053,763;0,006771971;-0,009928327;
2055,627;0,007148647;-0,00951713;
2057,490;0,00795072;-0,00868063;
2059,354;0,008259332;-0,008337685;
2061,218;0,008274786;-0,00828799;
2063,081;0,008218555;-0,008310074;
2064,945;0,008476286;-0,008018287;
2066,809;0,008810436;-0,007650174;
2068,672;0,009146585;-0,007280154;
