;May04_TPC_06-04-0_HMW;May04_TPC_06-04-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1656,802;0,08691139;0,06106203;
1658,665;0,08482115;0,05899736;
1660,529;0,0833087;0,05751037;
1662,393;0,08192351;0,05615053;
1664,256;0,08028967;0,05454194;
1666,120;0,0782162;0,05249359;
1667,984;0,07666327;0,05096567;
1669,847;0,07549457;0,04982186;
1671,711;0,07380042;0,0481525;
1673,575;0,07179426;0,04617103;
1675,438;0,0703917;0,04479302;
1677,302;0,06869045;0,04311624;
1679,166;0,0666926;0,04114273;
1681,029;0,0650692;0,03954358;
1682,893;0,06389987;0,03839839;
1684,757;0,06304127;0,03756382;
1686,620;0,06123933;0,0357858;
1688,484;0,05931048;0,03388076;
1690,348;0,05791267;0,03250667;
1692,211;0,05637136;0,03098896;
1694,075;0,0549001;0,02954121;
1695,939;0,05392067;0,02858518;
1697,802;0,05270818;0,02739599;
1699,666;0,05147945;0,02619046;
1701,530;0,05068419;0,02541829;
1703,393;0,04901813;0,02377523;
1705,257;0,04784838;0,02262836;
1707,121;0,04675965;0,02156243;
1708,984;0,04551;0,02033547;
1710,848;0,04417742;0,01902549;
1712,712;0,04305619;0,01792676;
1714,575;0,04204472;0,01693768;
1716,439;0,04125636;0,01617163;
1718,303;0,04044046;0,01537793;
1720,166;0,03939018;0,01434977;
1722,030;0,03823978;0,01322138;
1723,894;0,03743198;0,01243549;
1725,757;0,03647719;0,01150253;
1727,621;0,0356809;0,01072797;
1729,485;0,03506154;0,01013025;
1731,348;0,03437453;0,009464783;
1733,212;0,03389172;0,009003426;
1735,076;0,03378885;0,008921915;
1736,939;0,03286108;0,008015408;
1738,803;0,03227585;0,007451353;
1740,667;0,03203826;0,007234848;
1742,530;0,03172347;0,006941058;
1744,394;0,03131156;0,006550057;
1746,258;0,03096899;0,006228296;
1748,121;0,03064571;0,005925745;
1749,985;0,03045369;0,00575437;
1751,849;0,03014873;0,005469963;
1753,712;0,02974395;0,005085642;
1755,576;0,02937395;0,004736027;
1757,440;0,02925621;0,004638571;
1759,303;0,02877822;0,004180788;
1761,167;0,02844554;0,00386823;
1763,031;0,02806481;0,003507533;
1764,894;0,02745038;0,002913054;
1766,758;0,02694198;0,002424522;
1768,622;0,02669715;0,002199479;
1770,485;0,02619534;0,001717369;
1772,349;0,02598943;0,001531074;
1774,213;0,02552199;0,001083166;
1776,076;0,02486492;0,0004455526;
1777,940;0,02446193;6,193497E-5;
1779,804;0,02419868;-0,0001820257;
1781,667;0,02377862;-0,0005828806;
1783,531;0,02330976;-0,001032607;
1785,395;0,02298996;-0,00133336;
1787,258;0,02276171;-0,001542635;
1789,122;0,02242412;-0,001861334;
1790,986;0,02218688;-0,002079767;
1792,849;0,02204723;-0,002200681;
1794,713;0,02184465;-0,002384599;
1796,577;0,02161058;-0,002600092;
1798,441;0,02152358;-0,002668585;
1800,304;0,0214244;-0,002749347;
1802,168;0,02132178;-0,002833615;
1804,032;0,02117891;-0,002958206;
1805,895;0,02108603;-0,003032891;
1807,759;0,02094679;-0,003154007;
1809,623;0,02096284;-0,003119901;
1811,486;0,02098043;-0,003084345;
1813,350;0,02084418;-0,003202687;
1815,214;0,02068265;-0,003346396;
1817,077;0,02076077;-0,003250514;
1818,941;0,02078715;-0,00320645;
1820,805;0,02068166;-0,003294337;
1822,668;0,02065836;-0,003300098;
1824,532;0,02093677;-0,003004217;
1826,396;0,0209825;-0,002941092;
1828,259;0,0208533;-0,00305297;
1830,123;0,02099965;-0,002889367;
1831,987;0,02101237;-0,002859464;
1833,850;0,02087208;-0,002982639;
1835,714;0,0210733;-0,00276438;
1837,578;0,02117321;-0,002647494;
1839,441;0,02112004;-0,002683754;
1841,305;0,02093681;-0,002850141;
1843,169;0,02106617;-0,002704018;
1845,032;0,02132823;-0,00242525;
1846,896;0,0213828;-0,002354047;
1848,760;0,02122875;-0,00249153;
1850,623;0,02120002;-0,002503753;
1852,487;0,02124118;-0,002446166;
1854,351;0,02143193;-0,002239042;
1856,214;0,02149379;-0,002160878;
1858,078;0,02145978;-0,002178656;
1859,942;0,0213034;-0,002318861;
1861,805;0,02132488;-0,002281268;
1863,669;0,02129003;-0,00230008;
1865,533;0,02131566;-0,002258462;
1867,396;0,0213455;-0,002212711;
1869,260;0,02125623;-0,002286126;
1871,124;0,02096846;-0,002558103;
1872,987;0,02108433;-0,002426508;
1874,851;0,02103867;-0,002456507;
1876,715;0,0211526;-0,002326976;
1878,578;0,02146126;-0,002002771;
1880,442;0,02163258;-0,001815973;
1882,306;0,02148759;-0,001945549;
1884,169;0,0213846;-0,002033179;
1886,033;0,02122807;-0,00217441;
1887,897;0,02131618;-0,002071068;
1889,760;0,02131547;-0,002056598;
1891,624;0,02117237;-0,00218459;
1893,488;0,02098379;-0,002358109;
1895,351;0,02109796;-0,002228944;
1897,215;0,02115305;-0,002158913;
1899,079;0,02119103;-0,002106056;
1900,942;0,02121501;-0,002067252;
1902,806;0,02112191;-0,002145584;
1904,670;0,02086465;-0,002388142;
1906,533;0,02093735;-0,002300792;
1908,397;0,02104608;-0,002177473;
1910,261;0,02099566;-0,002213363;
1912,124;0,02075125;-0,00244329;
1913,988;0,02074216;-0,002437959;
1915,852;0,02064204;-0,002523714;
1917,715;0,02047667;-0,00267477;
1919,579;0,02031023;-0,002826963;
1921,443;0,02024764;-0,002875355;
1923,306;0,02021484;-0,00289401;
1925,170;0,01991952;-0,00317524;
1927,034;0,01935697;-0,003723753;
1928,897;0,01931565;-0,003751089;
1930,761;0,01949856;-0,003554259;
1932,625;0,01953441;-0,003504531;
1934,488;0,01915604;-0,003869087;
1936,352;0,01914055;-0,003870811;
1938,216;0,0190548;-0,00394284;
1940,079;0,01853274;-0,004451245;
1941,943;0,01787644;-0,00509393;
1943,807;0,01768681;-0,005270008;
1945,670;0,01737768;-0,005565638;
1947,534;0,01730953;-0,005620327;
1949,398;0,01722257;-0,005693889;
1951,261;0,01757348;-0,005329632;
1953,125;0,01739105;-0,005498756;
1954,989;0,01687124;-0,006005321;
1956,852;0,01651917;-0,006344198;
1958,716;0,01601123;-0,006838985;
1960,580;0,0153199;-0,007517221;
1962,443;0,01489609;-0,007927984;
1964,307;0,01420614;-0,00860493;
1966,171;0,01336539;-0,009432727;
1968,034;0,01244462;-0,0103406;
1969,898;0,01274801;-0,01002435;
1971,762;0,01301788;-0,009741685;
1973,625;0,01214596;-0,01060085;
1975,489;0,01054384;-0,01219026;
1977,353;0,01103446;-0,01168698;
1979,216;0,0127443;-0,009964536;
1981,080;0,0138173;-0,008878971;
1982,944;0,01445207;-0,008231685;
1984,807;0,01493105;-0,007740231;
1986,671;0,01461907;-0,008039785;
1988,535;0,0146698;-0,007976686;
1990,398;0,01498061;-0,00765354;
1992,262;0,01516076;-0,00746111;
1994,126;0,01495406;-0,007655572;
1995,989;0,01508937;-0,00750807;
1997,853;0,01535825;-0,007227036;
1999,717;0,01552416;-0,007049028;
2001,580;0,01526581;-0,007295324;
2003,444;0,01409514;-0,008453975;
2005,308;0,01325428;-0,009282875;
2007,171;0,01324073;-0,009284497;
2009,035;0,01248667;-0,01002668;
2010,899;0,01251501;-0,009986507;
2012,762;0,01314029;-0,009349438;
2014,626;0,01328067;-0,009197305;
2016,490;0,01262726;-0,009839013;
2018,353;0,01242343;-0,01003118;
2020,217;0,01238359;-0,0100594;
2022,081;0,01147093;-0,01096049;
2023,944;0,01125961;-0,01116027;
2025,808;0,01112749;-0,01128091;
2027,672;0,01157954;-0,01081741;
2029,535;0,01208877;-0,01029678;
2031,399;0,01181615;-0,01055803;
2033,263;0,01246581;-0,009897042;
2035,126;0,0120797;-0,01027187;
2036,990;0,01234162;-0,009998717;
2038,854;0,01349589;-0,008833241;
2040,717;0,01418188;-0,008136093;
2042,581;0,01497715;-0,007329711;
2044,445;0,01561505;-0,006680734;
2046,308;0,01584936;-0,006435389;
2048,172;0,01721373;-0,005060025;
2050,036;0,01848112;-0,003781678;
2051,899;0,01872708;-0,003524796;
2053,763;0,0187148;-0,003526202;
2055,627;0,01945341;-0,002776749;
2057,490;0,02005868;-0,002160684;
2059,354;0,02048383;-0,00172478;
2061,218;0,02047149;-0,001726394;
2063,081;0,02043421;-0,001752992;
2064,945;0,02066279;-0,001513769;
2066,809;0,02100672;-0,001159237;
2068,672;0,02117605;-0,0009793388;
2070,536;0,02154788;-0,0005969774;
