;Mar24_TPC_08-02-0_HMW;Mar24_TPC_08-02-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1513,299;0,1082583;0,08736124;
1515,163;0,109606;0,08875217;
1517,026;0,1107909;0,08998005;
1518,890;0,1122761;0,09150815;
1520,754;0,1149735;0,09424814;
1522,618;0,1164648;0,09578186;
1524,481;0,1174169;0,09677608;
1526,345;0,1188127;0,09821393;
1528,209;0,119698;0,099141;
1530,072;0,1206462;0,1001308;
1531,936;0,1232021;0,102728;
1533,800;0,1250325;0,1045996;
1535,663;0,1253615;0,1049695;
1537,527;0,1279269;0,1075757;
1539,391;0,1332299;0,1129194;
1541,254;0,1363168;0,1160467;
1543,118;0,1370154;0,1167854;
1544,982;0,1376895;0,1174995;
1546,845;0,1381751;0,1180249;
1548,709;0,1395723;0,1194617;
1550,573;0,1405938;0,1205227;
1552,436;0,141627;0,1215951;
1554,300;0,1423413;0,1223484;
1556,164;0,1446066;0,1246525;
1558,027;0,1499042;0,1299889;
1559,891;0,1501716;0,1302947;
1561,755;0,1471648;0,1273262;
1563,618;0,1464886;0,1266882;
1565,482;0,1462259;0,1264634;
1567,346;0,1467811;0,1270564;
1569,209;0,1471774;0,1274902;
1571,073;0,145623;0,1259733;
1572,937;0,1450338;0,1254213;
1574,800;0,1461932;0,1266177;
1576,664;0,1458369;0,1262983;
1578,528;0,1439973;0,1244954;
1580,391;0,142822;0,1233566;
1582,255;0,14189;0,1224609;
1584,119;0,140957;0,1215642;
1585,982;0,1398488;0,1204919;
1587,846;0,1388027;0,1194817;
1589,710;0,1375984;0,1183131;
1591,573;0,1364269;0,1171771;
1593,437;0,1352302;0,1160158;
1595,301;0,1338833;0,114704;
1597,164;0,1323812;0,113237;
1599,028;0,1310175;0,1119081;
1600,892;0,1295861;0,1105114;
1602,755;0,1280561;0,1090159;
1604,619;0,1264023;0,1073965;
1606,483;0,1249868;0,1060152;
1608,346;0,1234005;0,1044629;
1610,210;0,1215415;0,1026379;
1612,074;0,1196158;0,1007459;
1613,937;0,1187753;0,099939;
1615,801;0,1182624;0,09945948;
1617,665;0,1159704;0,09720076;
1619,528;0,1139622;0,0952257;
1621,392;0,1131906;0,09448703;
1623,256;0,1120844;0,09341363;
1625,119;0,1103766;0,09173853;
1626,983;0,1091231;0,09051757;
1628,847;0,1072969;0,08872373;
1630,710;0,1054968;0,0869559;
1632,574;0,104901;0,08639208;
1634,438;0,1052252;0,08674827;
1636,301;0,1035194;0,08507422;
1638,165;0,1011004;0,08268682;
1640,029;0,09927267;0,08089063;
1641,892;0,09767441;0,07932372;
1643,756;0,09681394;0,07849446;
1645,620;0,09621156;0,07792315;
1647,483;0,09372082;0,07546335;
1649,347;0,09162316;0,07339648;
1651,211;0,09216348;0,07396744;
1653,074;0,0919683;0,07380277;
1654,938;0,08819489;0,07005974;
1656,802;0,08571769;0,06761278;
