;Jun18_TPC_0-1-0_HMW;Jun18_TPC_0-1-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1574,800;0,1737217;0,1420753;
1576,664;0,1739428;0,1423644;
1578,528;0,1717506;0,14024;
1580,391;0,1688194;0,1373765;
1582,255;0,1669686;0,135593;
1584,119;0,1653949;0,1340865;
1585,982;0,1639518;0,1327102;
1587,846;0,1623376;0,1311626;
1589,710;0,1609918;0,1298832;
1591,573;0,1595817;0,1285392;
1593,437;0,1584357;0,1274592;
1595,301;0,1571659;0,1262552;
1597,164;0,1558491;0,1250038;
1599,028;0,1543571;0,1235771;
1600,892;0,1531361;0,122421;
1602,755;0,1518825;0,1212323;
1604,619;0,1505844;0,1199987;
1606,483;0,1491661;0,1186448;
1608,346;0,1479247;0,1174675;
1610,210;0,1463242;0,1159309;
1612,074;0,1444767;0,1141471;
1613,937;0,1429582;0,112692;
1615,801;0,1427252;0,1125223;
1617,665;0,1424099;0,1122699;
1619,528;0,140242;0,1101648;
1621,392;0,1386126;0,108598;
1623,256;0,1384008;0,1084486;
1625,119;0,137596;0,107706;
1626,983;0,1363115;0,1064833;
1628,847;0,135087;0,1053206;
1630,710;0,1332936;0,1035887;
1632,574;0,1315673;0,1019237;
1634,438;0,1314829;0,1019005;
1636,301;0,1320965;0,1025749;
1638,165;0,1301177;0,1006568;
1640,029;0,1275558;0,09815531;
1641,892;0,1255645;0,09622432;
1643,756;0,1237881;0,09450802;
1645,620;0,1227658;0,09354558;
1647,483;0,121577;0,09241643;
1649,347;0,1189199;0,08981874;
1651,211;0,116997;0,08795505;
1653,074;0,1177256;0,08874272;
1654,938;0,1159174;0,08699337;
1656,802;0,1122598;0,08339445;
1658,665;0,1094251;0,08061819;
1660,529;0,1072427;0,07849405;
1662,393;0,1051062;0,07641561;
1664,256;0,1024977;0,07386495;
1666,120;0,09959531;0,07102027;
1667,984;0,09721813;0,06870057;
1669,847;0,09494976;0,06648949;
1671,711;0,09226759;0,06386441;
1673,575;0,08955934;0,06121307;
1675,438;0,08705154;0,05876199;
1677,302;0,08417971;0,05594668;
1679,166;0,0812107;0,053034;
1681,029;0,07836783;0,05024729;
1682,893;0,07613656;0,04807198;
1684,757;0,07377638;0,04576758;
1686,620;0,07101992;0,04306671;
1688,484;0,06832777;0,04042998;
1690,348;0,06574888;0,03790632;
1692,211;0,0630669;0,03527938;
1694,075;0,06053837;0,03280571;
1695,939;0,05773865;0,03006067;
1697,802;0,05528139;0,02765791;
1699,666;0,05321214;0,02564299;
1701,530;0,05093926;0,02342425;
1703,393;0,04888557;0,02142453;
1705,257;0,04709557;0,01968832;
1707,121;0,04532393;0,0179703;
1708,984;0,0436799;0,01637971;
1710,848;0,04183334;0,01458641;
1712,712;0,04022026;0,01302642;
1714,575;0,03875035;0,01160943;
1716,439;0,03745532;0,01036714;
1718,303;0,0362552;0,009219597;
1720,166;0,03509095;0,008107749;
1722,030;0,0339754;0,00704443;
1723,894;0,03312875;0,00624984;
1725,757;0,03232595;0,005498944;
1727,621;0,03159741;0,004822124;
1729,485;0,03083185;0,004108129;
1731,348;0,03012421;0,003451882;
1733,212;0,02955849;0,002937392;
1735,076;0,02912218;0,002552142;
1736,939;0,02825135;0,001732207;
1738,803;0,02768467;0,001216267;
1740,667;0,02734024;0,0009224044;
1742,530;0,02680488;0,000437456;
1744,394;0,02603938;-0,0002777905;
1746,258;0,0254396;-0,0008274849;
1748,121;0,02487079;-0,001346369;
1749,985;0,02436548;-0,001801911;
1751,849;0,02391107;-0,002206708;
