;Jun02_TPC_1-0-0_LMW;Jun02_TPC_1-0-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1708,984;0,01434028;-0,00382018;
1710,848;0,01399634;-0,004143847;
1712,712;0,01388425;-0,004235741;
1714,575;0,01370393;-0,004395918;
1716,439;0,01346766;-0,004612115;
1718,303;0,01291707;-0,005142704;
1720,166;0,01247244;-0,00556739;
1722,030;0,01235301;-0,005666942;
1723,894;0,01232648;-0,005673663;
1725,757;0,01224146;-0,005738936;
1727,621;0,01217524;-0,005785473;
1729,485;0,01227581;-0,005665282;
1731,348;0,0121922;-0,005729331;
1733,212;0,01198981;-0,005912224;
1735,076;0,01143155;-0,006451053;
1736,939;0,0113033;-0,006559939;
1738,803;0,0114034;-0,006440531;
1740,667;0,01145813;-0,006366549;
1742,530;0,01144926;-0,006356243;
1744,394;0,01146519;-0,006321189;
1746,258;0,01165547;-0,006111847;
1748,121;0,01189135;-0,005856972;
1749,985;0,01210083;-0,005628547;
1751,849;0,0122956;-0,005414898;
1753,712;0,0127793;-0,004912382;
1755,576;0,01412592;-0,003547006;
1757,440;0,0166354;-0,00101883;
1759,303;0,02052594;0,00289035;
1761,167;0,02643085;0,008813845;
1763,031;0,02840153;0,01080305;
1764,894;0,02119678;0,003616754;
1766,758;0,01388071;-0,003680904;
1768,622;0,0108422;-0,006701072;
1770,485;0,01024588;-0,007279107;
1772,349;0,00992214;-0,007584612;
1774,213;0,009659774;-0,007828805;
1776,076;0,009613991;-0,007856472;
1777,940;0,009626921;-0,007825483;
1779,804;0,009691677;-0,007742724;
1781,667;0,009548777;-0,007867679;
1783,531;0,009371461;-0,008027105;
1785,395;0,009246632;-0,0081341;
1787,258;0,009368426;-0,007994528;
1789,122;0,009451965;-0,007893267;
1790,986;0,00949287;-0,007834695;
1792,849;0,009265868;-0,008044085;
1794,713;0,0090136;-0,008278795;
1796,577;0,008940043;-0,008334849;
1798,441;0,009093244;-0,0081642;
1800,304;0,00916406;-0,008075991;
1802,168;0,009059701;-0,00816301;
1804,032;0,008835293;-0,008370131;
1805,895;0,008859957;-0,008328234;
1807,759;0,008949257;-0,008221754;
1809,623;0,008900608;-0,008253277;
1811,486;0,008830061;-0,00830675;
1813,350;0,008736321;-0,008383469;
1815,214;0,008606509;-0,008496312;
1817,077;0,008643477;-0,008442427;
1818,941;0,008699708;-0,008369332;
1820,805;0,008710819;-0,008341408;
1822,668;0,008777246;-0,00825822;
1824,532;0,008828214;-0,008190542;
1826,396;0,008783867;-0,00821823;
1828,259;0,008842262;-0,008143227;
1830,123;0,008813784;-0,008155148;
1831,987;0,008817679;-0,008134747;
1833,850;0,008848588;-0,008087381;
1835,714;0,00886354;-0,008056023;
1837,578;0,008782783;-0,008120423;
1839,441;0,008787608;-0,008099292;
1841,305;0,008832001;-0,008038642;
1843,169;0,008941799;-0,007912635;
1845,032;0,008891079;-0,007947197;
1846,896;0,008676245;-0,008145921;
1848,760;0,00855143;-0,008254674;
1850,623;0,008599067;-0,008191024;
1852,487;0,008697351;-0,008076776;
1854,351;0,008758766;-0,007999444;
1856,214;0,008805165;-0,007937177;
1858,078;0,00887611;-0,007850412;
1859,942;0,008818426;-0,007892323;
1861,805;0,008750351;-0,007944672;
1863,669;0,00877596;-0,007903384;
1865,533;0,008774008;-0,007889705;
1867,396;0,008755656;-0,007892472;
1869,260;0,008761449;-0,00787114;
1871,124;0,008610128;-0,00800697;
1872,987;0,008557901;-0,00804375;
1874,851;0,00867002;-0,007916232;
1876,715;0,008700759;-0,007870139;
1878,578;0,008611766;-0,007943823;
