;Jun30_TPC_1-0-0_LMW_salt;Jun30_TPC_1-0-0_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1751,849;0,00953339;-0,006464903;
1753,712;0,01042427;-0,005567165;
1755,576;0,0122422;-0,003742416;
1757,440;0,01628529;0,0003074751;
1759,303;0,02169872;0,005727678;
1761,167;0,02978338;0,01381907;
1763,031;0,03364622;0,01768863;
1764,894;0,02393566;0,00798475;
1766,758;0,013308;-0,002636251;
1768,622;0,008701008;-0,007236617;
1770,485;0,00736661;-0,008564415;
1772,349;0,007172656;-0,008751797;
1774,213;0,007355062;-0,008562847;
1776,076;0,007362693;-0,0085487;
1777,940;0,007483968;-0,008420935;
1779,804;0,007543843;-0,008354597;
1781,667;0,007628177;-0,008263829;
1783,531;0,007698654;-0,008186943;
1785,395;0,007681834;-0,008197381;
1787,258;0,007640474;-0,008232386;
1789,122;0,007446971;-0,00841956;
1790,986;0,00710742;-0,008752808;
1792,849;0,007275264;-0,008578689;
1794,713;0,007418128;-0,008429574;
1796,577;0,007328731;-0,008512747;
1798,441;0,007536644;-0,008298635;
1800,304;0,007541686;-0,008287421;
1802,168;0,007556025;-0,008266934;
1804,032;0,007482024;-0,008334814;
1805,895;0,007440161;-0,00837058;
1807,759;0,007385797;-0,008418872;
1809,623;0,007511134;-0,008287488;
1811,486;0,007680818;-0,008111782;
1813,350;0,007315138;-0,008471466;
1815,214;0,006923232;-0,008857399;
1817,077;0,00726784;-0,008506843;
1818,941;0,007498728;-0,008270032;
1820,805;0,00767285;-0,008090011;
1822,668;0,007768496;-0,007988489;
1824,532;0,007633235;-0,008117899;
1826,396;0,007461922;-0,008283384;
1828,259;0,007165529;-0,008573974;
1830,123;0,007245639;-0,008488084;
1831,987;0,007414182;-0,008313784;
1833,850;0,007349492;-0,008372741;
1835,714;0,007552774;-0,008163748;
1837,578;0,007820518;-0,007890318;
1839,441;0,007639914;-0,008065258;
1841,305;0,006940023;-0,008759509;
